year,area_harvested_mil_acres,yield_bu_acre,trend_yield_bu_acre,yield_deviation_pct,production_mil_bu,beginning_stocks_mil_bu,ending_stocks_mil_bu,total_use_mil_bu,stocks_to_use,carryin_stocks_to_use,price_usd_bu,is_projection
1975,67.625,86.4000,88.6052,-2.4888,5840.757,558.000,633.200,5767.054,0.109796,,2.5400,false
1976,71.506,87.9530,90.4887,-2.8022,6289.169,633.200,1135.600,5789.200,0.196158,0.109796,2.1500,false
1977,71.614,90.8000,92.3722,-1.7020,6505.041,1135.600,1435.900,6207.139,0.231330,0.196158,2.0200,false
1978,71.930,101.0000,94.2557,7.1554,7267.927,1435.900,1709.500,6995.479,0.244372,0.231330,2.2500,false
1979,72.400,109.5000,96.1391,13.8974,7928.139,1709.500,2034.300,7604.060,0.267528,0.244372,2.5200,false
1980,72.961,91.0000,98.0226,-7.1643,6639.396,2034.300,1392.100,7282.444,0.191158,0.267528,3.1100,false
1981,74.524,108.9000,99.9061,9.0024,8118.650,1392.100,2536.600,6974.706,0.363686,0.191158,2.5000,false
1982,72.719,113.2000,101.7896,11.2098,8235.101,2536.600,3523.100,7249.090,0.486006,0.363686,2.5500,false
1983,51.479,81.1000,103.6730,-21.7733,4174.251,3523.100,1006.300,6692.759,0.150357,0.486006,3.2100,false
1984,71.897,106.7000,105.5565,1.0833,7672.130,1006.300,1648.200,7031.963,0.234387,0.150357,2.6300,false
1985,75.209,118.0000,107.4400,9.8288,8875.453,1648.200,4039.522,6494.029,0.622036,0.234387,2.2300,false
1986,68.907,119.4000,109.3235,9.2172,8225.764,4039.522,4881.693,7385.350,0.660997,0.622036,1.5000,false
1987,59.505,119.8000,111.2069,7.7271,7131.300,4881.693,4259.086,7757.318,0.549041,0.660997,1.9400,false
1988,58.250,84.6000,113.0904,-25.1926,4928.681,4259.086,1930.428,7260.121,0.265895,0.549041,2.5400,false
1989,64.783,116.3000,114.9739,1.1534,7531.953,1930.428,1344.457,8119.826,0.165577,0.265895,2.3600,false
1990,66.952,118.5000,116.8574,1.4057,7934.028,1344.457,1521.245,7760.655,0.196020,0.165577,2.2800,false
1991,68.822,108.6000,118.7408,-8.5403,7474.765,1521.245,1100.311,7915.336,0.139010,0.196020,2.3700,false
1992,72.077,131.5000,120.6243,9.0162,9476.698,1100.311,2112.981,8471.119,0.249434,0.139010,2.0700,false
1993,62.933,100.7000,122.5078,-17.8011,6337.730,2112.981,850.143,7621.383,0.111547,0.249434,2.5000,false
1994,72.514,138.6000,124.3913,11.4226,10050.520,850.143,1557.840,9352.380,0.166572,0.111547,2.2600,false
1995,65.210,113.4803,126.2747,-10.1322,7400.051,1557.840,425.942,8548.436,0.049827,0.166572,3.2400,false
1996,72.644,127.0932,128.1582,-0.8310,9232.557,425.942,883.161,8788.599,0.100489,0.049827,2.7100,false
1997,72.671,126.6920,130.0417,-2.5759,9206.832,883.161,1307.803,8791.000,0.148766,0.100489,2.4300,false
1998,72.589,134.4375,131.9252,1.9044,9758.685,1307.803,1786.977,9298.317,0.192183,0.148766,1.9400,false
1999,70.487,133.7922,133.8086,-0.0123,9430.612,1786.977,1717.549,9514.784,0.180514,0.192183,1.8200,false
2000,72.440,136.8726,135.6921,0.8700,9915.051,1717.549,1899.108,9740.316,0.194974,0.180514,1.8500,false
2001,68.768,138.1832,137.5756,0.4417,9502.580,1899.108,1596.426,9815.402,0.162645,0.194974,1.9700,false
2002,69.330,129.3349,139.4591,-7.2596,8966.787,1596.426,1086.673,9490.986,0.114495,0.162645,2.3200,false
2003,70.944,142.1867,141.3425,0.5972,10087.292,1086.673,958.091,10229.950,0.093655,0.114495,2.4200,false
2004,73.631,160.3344,143.2260,11.9450,11805.581,958.091,2113.972,10660.530,0.198299,0.093655,2.0600,false
2005,75.117,147.9317,145.1095,1.9449,11112.187,2113.972,1967.161,11267.804,0.174582,0.198299,2.0000,false
