region_key,state,stratum,production_bu,acres_harvested,acres_irrigated,irrigated_share,production_share_of_us,method,source
ia,IA,all,2511484113,12637070,155153,0.0123,0.183020,"state totals as published, not split into strata: irrigation covers less than node 1's 20 percent threshold here. Irrigated share is CORN, GRAIN, IRRIGATED - ACRES HARVESTED over CORN, GRAIN - ACRES HARVESTED","USDA NASS 2022 Census of Agriculture, Quick Stats bulk export"
il,IL,all,2143284486,10421518,346598,0.0333,0.156188,"state totals as published, not split into strata: irrigation covers less than node 1's 20 percent threshold here. Irrigated share is CORN, GRAIN, IRRIGATED - ACRES HARVESTED over CORN, GRAIN - ACRES HARVESTED","USDA NASS 2022 Census of Agriculture, Quick Stats bulk export"
mn,MN,all,1478451268,7732455,302897,0.0392,0.107740,"state totals as published, not split into strata: irrigation covers less than node 1's 20 percent threshold here. Irrigated share is CORN, GRAIN, IRRIGATED - ACRES HARVESTED over CORN, GRAIN - ACRES HARVESTED","USDA NASS 2022 Census of Agriculture, Quick Stats bulk export"
ne_irrigated,NE,irrigated,910400918,4554560,4554560,1.0000,0.066344,"irrigated stratum of a state node 1 splits: acres are CORN, GRAIN, IRRIGATED - ACRES HARVESTED as published. NASS publishes no irrigated production at any level, so the state's published production is apportioned between the two strata in proportion to acres times that stratum's operation-class yield (CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE, 197.8 bu/acre), then normalised back onto the published state total so the two strata sum to it exactly and the coverage share is unchanged. This mixes an operation-class yield with an area split, the same apportionment node 1 uses for its stratum weights. Operations irrigating their entire crop out-yield those irrigating none in these two states, but the sign of that gap flips in Iowa and Ohio, so a stratum is not 'the better half'","USDA NASS 2022 Census of Agriculture, Quick Stats bulk export"
ne_rainfed,NE,rainfed,526621718,4093647,0,0.0000,0.038377,"rainfed stratum of a state node 1 splits: acres are CORN, GRAIN - ACRES HARVESTED minus the published irrigated acres. NASS publishes no irrigated production at any level, so the state's published production is apportioned between the two strata in proportion to acres times that stratum's operation-class yield (CORN, GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE, 127.3 bu/acre), then normalised back onto the published state total so the two strata sum to it exactly and the coverage share is unchanged. This mixes an operation-class yield with an area split, the same apportionment node 1 uses for its stratum weights. Operations irrigating their entire crop out-yield those irrigating none in these two states, but the sign of that gap flips in Iowa and Ohio, so a stratum is not 'the better half'","USDA NASS 2022 Census of Agriculture, Quick Stats bulk export"
in,IN,all,1039725085,5376022,340819,0.0634,0.075768,"state totals as published, not split into strata: irrigation covers less than node 1's 20 percent threshold here. Irrigated share is CORN, GRAIN, IRRIGATED - ACRES HARVESTED over CORN, GRAIN - ACRES HARVESTED","USDA NASS 2022 Census of Agriculture, Quick Stats bulk export"
sd,SD,all,611547551,4803202,168535,0.0351,0.044566,"state totals as published, not split into strata: irrigation covers less than node 1's 20 percent threshold here. Irrigated share is CORN, GRAIN, IRRIGATED - ACRES HARVESTED over CORN, GRAIN - ACRES HARVESTED","USDA NASS 2022 Census of Agriculture, Quick Stats bulk export"
oh,OH,all,608637574,3314064,15124,0.0046,0.044353,"state totals as published, not split into strata: irrigation covers less than node 1's 20 percent threshold here. Irrigated share is CORN, GRAIN, IRRIGATED - ACRES HARVESTED over CORN, GRAIN - ACRES HARVESTED","USDA NASS 2022 Census of Agriculture, Quick Stats bulk export"
wi,WI,all,533043125,3065380,143290,0.0467,0.038845,"state totals as published, not split into strata: irrigation covers less than node 1's 20 percent threshold here. Irrigated share is CORN, GRAIN, IRRIGATED - ACRES HARVESTED over CORN, GRAIN - ACRES HARVESTED","USDA NASS 2022 Census of Agriculture, Quick Stats bulk export"
ks_irrigated,KS,irrigated,199800607,1181420,1181420,1.0000,0.014560,"irrigated stratum of a state node 1 splits: acres are CORN, GRAIN, IRRIGATED - ACRES HARVESTED as published. NASS publishes no irrigated production at any level, so the state's published production is apportioned between the two strata in proportion to acres times that stratum's operation-class yield (CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE, 173.1 bu/acre), then normalised back onto the published state total so the two strata sum to it exactly and the coverage share is unchanged. This mixes an operation-class yield with an area split, the same apportionment node 1 uses for its stratum weights. Operations irrigating their entire crop out-yield those irrigating none in these two states, but the sign of that gap flips in Iowa and Ohio, so a stratum is not 'the better half'","USDA NASS 2022 Census of Agriculture, Quick Stats bulk export"
ks_rainfed,KS,rainfed,286703296,3476921,0,0.0000,0.020893,"rainfed stratum of a state node 1 splits: acres are CORN, GRAIN - ACRES HARVESTED minus the published irrigated acres. NASS publishes no irrigated production at any level, so the state's published production is apportioned between the two strata in proportion to acres times that stratum's operation-class yield (CORN, GRAIN, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE, 84.4 bu/acre), then normalised back onto the published state total so the two strata sum to it exactly and the coverage share is unchanged. This mixes an operation-class yield with an area split, the same apportionment node 1 uses for its stratum weights. Operations irrigating their entire crop out-yield those irrigating none in these two states, but the sign of that gap flips in Iowa and Ohio, so a stratum is not 'the better half'","USDA NASS 2022 Census of Agriculture, Quick Stats bulk export"
mo,MO,all,467281181,3015286,283011,0.0939,0.034052,"state totals as published, not split into strata: irrigation covers less than node 1's 20 percent threshold here. Irrigated share is CORN, GRAIN, IRRIGATED - ACRES HARVESTED over CORN, GRAIN - ACRES HARVESTED","USDA NASS 2022 Census of Agriculture, Quick Stats bulk export"
